snapshot,p_max_pu
2024-01-05 05:00:00,0.9586
2024-01-05 06:00:00,0.9599
2024-01-05 07:00:00,1.0
2024-01-05 08:00:00,1.0
2024-01-05 09:00:00,0.9416
2024-01-05 10:00:00,1.0
2024-01-05 11:00:00,1.0
2024-01-05 12:00:00,0.9538
2024-01-05 13:00:00,1.0
2024-01-05 14:00:00,0.9514
2024-01-05 15:00:00,1.0
2024-01-05 16:00:00,0.9287
2024-01-05 17:00:00,0.963
2024-01-05 18:00:00,0.9271
2024-01-05 19:00:00,1.0
2024-01-05 20:00:00,1.0
2024-01-05 21:00:00,1.0
2024-01-05 22:00:00,0.9595
2024-01-05 23:00:00,1.0
2024-01-06 00:00:00,1.0
2024-01-06 01:00:00,1.0
2024-01-06 02:00:00,0.9024
2024-01-06 03:00:00,1.0
2024-01-06 04:00:00,1.0
2024-01-06 05:00:00,1.0
2024-01-06 06:00:00,0.9543
2024-01-06 07:00:00,1.0
2024-01-06 08:00:00,0.9237
2024-01-06 09:00:00,1.0
2024-01-06 10:00:00,1.0
2024-01-06 11:00:00,1.0
2024-01-06 12:00:00,0.957
2024-01-06 13:00:00,0.9366
2024-01-06 14:00:00,0.9924
2024-01-06 15:00:00,0.979
2024-01-06 16:00:00,1.0
2024-01-06 17:00:00,0.9878
2024-01-06 18:00:00,1.0
2024-01-06 19:00:00,0.9836
2024-01-06 20:00:00,1.0
2024-01-06 21:00:00,1.0
2024-01-06 22:00:00,1.0
2024-01-06 23:00:00,0.9924
2024-01-07 00:00:00,1.0
2024-01-07 01:00:00,1.0
2024-01-07 02:00:00,0.9218
2024-01-07 03:00:00,0.9619
2024-01-07 04:00:00,0.9575
2024-01-07 05:00:00,1.0
2024-01-07 06:00:00,1.0
2024-01-07 07:00:00,1.0
2024-01-07 08:00:00,0.9337
2024-01-07 09:00:00,0.9392
2024-01-07 10:00:00,0.9173
2024-01-07 11:00:00,1.0
2024-01-07 12:00:00,1.0
2024-01-07 13:00:00,0.972
2024-01-07 14:00:00,0.9766
2024-01-07 15:00:00,1.0
2024-01-07 16:00:00,0.9856
2024-01-07 17:00:00,0.943
2024-01-07 18:00:00,1.0
2024-01-07 19:00:00,0.9796
2024-01-07 20:00:00,0.9756
2024-01-07 21:00:00,1.0
2024-01-07 22:00:00,1.0
2024-01-07 23:00:00,1.0
